epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.11049,0.96527,2.74353,1.727,1.34017,0,0.87268,0.15705,0.55146,0.4358,0.87268,0.15705,0.55839,0.40763,0.63992,2.31033,2.29624,0.91089,0,0.00064,0.00064,0.00064
2,15.9626,0.69097,1.44688,0.91689,1.13221,0,0.27157,0.66412,0.27294,0.08984,0.29749,0.66412,0.47397,0.1476,1.78929,2.99884,3.11888,1.91028,0,0.00129142,0.00129142,0.00129142
3,22.6184,0.7041,1.40477,0.8164,1.14648,0,0.84755,0.9313,0.88189,0.50547,0.87608,0.96183,0.90607,0.70432,1.2301,2.29138,1.62874,2.01353,0,0.00193413,0.00193413,0.00193413
4,28.7885,0.68913,1.30898,0.72683,1.11981,0,0.93811,0.96183,0.9694,0.48297,0.87298,0.8919,0.88999,0.43747,1.47544,3.26364,1.31726,1.48742,0,0.0019604,0.0019604,0.0019604
5,35.1153,0.63506,1.18497,0.63425,1.08864,0,0.98978,0.9771,0.993,0.79358,0.98978,0.9771,0.993,0.76989,0.71781,1.79896,1.33609,0.89852,0,0.0019472,0.0019472,0.0019472
6,41.3922,0.6331,1.16147,0.60554,1.09351,0,0.94828,0.97973,0.98391,0.77341,0.94714,0.98473,0.98339,0.51878,0.63194,4.38927,0.74744,0.93251,0,0.001934,0.001934,0.001934
7,48.3415,0.61423,1.11825,0.56935,1.08387,0,0.81226,0.68702,0.85271,0.75508,0.81686,0.67939,0.84174,0.67443,0.54673,1.51457,1.1077,0.84953,0,0.0019208,0.0019208,0.0019208
8,55.4473,0.58014,1.20419,0.52002,1.06747,0,0.9993,1,0.995,0.81419,0.9993,1,0.995,0.81129,0.7166,1.42847,0.68744,0.86664,0,0.0019076,0.0019076,0.0019076
9,62.0797,0.58691,1.1106,0.5008,1.06604,0,0.99164,0.90601,0.96837,0.83134,0.99164,0.90601,0.96139,0.66681,0.55374,2.11916,0.95308,0.74381,0,0.0018944,0.0018944,0.0018944
10,68.5838,0.56407,1.05425,0.47075,1.05671,0,0.99959,1,0.995,0.82925,0.84667,0.84733,0.7729,0.286,0.74957,4.83212,0.82745,0.88624,0,0.0018812,0.0018812,0.0018812
11,75.8706,0.57685,1.07337,0.47533,1.06587,0,0.99845,1,0.995,0.843,0.99845,1,0.995,0.87018,0.57315,1.62144,0.61851,0.83654,0,0.001868,0.001868,0.001868
12,83.0903,0.548,1.04665,0.46321,1.05057,0,0.98494,0.99881,0.995,0.86654,0.98494,0.99881,0.995,0.8841,0.48438,0.86387,0.55321,0.72806,0,0.0018548,0.0018548,0.0018548
13,90.1042,0.52705,1.00508,0.43236,1.03111,0,0.99851,1,0.995,0.84847,0.99851,1,0.995,0.83061,0.56458,1.04153,1.04385,0.82367,0,0.0018416,0.0018416,0.0018416
14,96.1705,0.56157,1.02936,0.44478,1.05548,0,0.89605,0.93893,0.96541,0.67637,0.89809,0.93893,0.96437,0.64913,0.7514,1.47152,1.30079,1.05312,0,0.0018284,0.0018284,0.0018284
15,102.427,0.53205,1.04748,0.44293,1.044,0,0.99037,0.99237,0.99477,0.90371,0.99037,0.99237,0.99477,0.8854,0.58823,0.94621,0.77039,0.87474,0,0.0018152,0.0018152,0.0018152
16,108.766,0.51564,1.01531,0.41041,1.03694,0,0.9923,0.98432,0.99455,0.83515,0.98276,0.99237,0.99477,0.85695,0.68767,0.9663,0.96881,0.94962,0,0.001802,0.001802,0.001802
17,115.909,0.5254,1.00758,0.43131,1.05176,0,1,0.99939,0.995,0.87191,1,0.99939,0.995,0.81093,0.55202,1.27859,0.54288,0.74251,0,0.0017888,0.0017888,0.0017888
18,122.304,0.51282,1.02147,0.41274,1.03083,0,0.99845,1,0.995,0.88239,0.99845,1,0.995,0.90191,0.50893,0.88455,0.54923,0.78163,0,0.0017756,0.0017756,0.0017756
19,128.839,0.50324,0.96379,0.4024,1.02105,0,0.99942,1,0.995,0.90245,0.99942,1,0.995,0.91333,0.41737,0.73417,0.39767,0.67531,0,0.0017624,0.0017624,0.0017624
20,136.196,0.50875,0.91068,0.40499,1.02643,0,0.99907,1,0.995,0.90912,0.99907,1,0.995,0.89764,0.43197,0.76695,0.47569,0.71807,0,0.0017492,0.0017492,0.0017492
21,143.539,0.49571,0.93387,0.38156,1.01959,0,0.99933,1,0.995,0.91458,0.99933,1,0.995,0.89184,0.41452,0.76139,0.47249,0.69986,0,0.001736,0.001736,0.001736
22,149.742,0.48817,0.89678,0.37556,1.01954,0,0.99826,1,0.995,0.89287,0.99826,1,0.995,0.88617,0.48184,0.88745,0.72913,0.7048,0,0.0017228,0.0017228,0.0017228
23,156.008,0.48928,0.91336,0.37997,1.01761,0,0.97659,1,0.99339,0.89427,0.98089,1,0.99365,0.87797,0.48193,0.84796,0.42002,0.73422,0,0.0017096,0.0017096,0.0017096
24,162.175,0.48043,0.92189,0.372,1.00487,0,0.99214,1,0.995,0.8968,0.99214,1,0.995,0.89678,0.4714,0.74688,0.47239,0.67636,0,0.0016964,0.0016964,0.0016964
25,168.442,0.49689,0.9016,0.37742,1.01809,0,0.99157,1,0.99492,0.90925,0.99157,1,0.99492,0.75267,0.43645,1.35025,0.63589,0.66568,0,0.0016832,0.0016832,0.0016832
26,174.748,0.47157,0.90355,0.35353,1.0015,0,0.98042,0.9771,0.99302,0.88627,0.98042,0.9771,0.99302,0.79982,0.58492,1.36022,0.84878,0.82071,0,0.00167,0.00167,0.00167
27,180.782,0.47505,0.91102,0.34998,1.00723,0,0.98341,1,0.99492,0.90817,0.98341,1,0.99492,0.84787,0.51284,1.18383,0.55256,0.74578,0,0.0016568,0.0016568,0.0016568
28,186.96,0.47775,0.88481,0.36215,0.9992,0,0.99928,1,0.995,0.853,0.99928,1,0.995,0.91889,0.54677,0.65371,0.47223,0.70506,0,0.0016436,0.0016436,0.0016436
29,193.188,0.47767,0.86261,0.34849,1.01176,0,0.98058,0.99237,0.9947,0.8608,0.98491,0.99677,0.9947,0.90975,0.53701,0.75809,0.51595,0.74,0,0.0016304,0.0016304,0.0016304
30,199.487,0.47456,0.85274,0.35861,1.00916,0,0.94907,0.99586,0.98889,0.82482,0.94907,0.99586,0.98889,0.84407,0.58489,0.94477,0.66194,0.78578,0,0.0016172,0.0016172,0.0016172
31,205.657,0.45783,0.8211,0.35877,1.00127,0,0.9964,1,0.995,0.93488,0.9964,1,0.995,0.90956,0.33129,0.70233,0.37663,0.66428,0,0.001604,0.001604,0.001604
32,211.775,0.44087,0.82921,0.33113,0.99188,0,0.9991,1,0.995,0.933,0.9991,1,0.995,0.9089,0.37571,0.71097,0.46217,0.63423,0,0.0015908,0.0015908,0.0015908
33,217.83,0.46541,0.88196,0.35046,1.01796,0,0.9994,1,0.995,0.90972,0.9994,1,0.995,0.92216,0.49592,0.67324,0.37389,0.72065,0,0.0015776,0.0015776,0.0015776
34,224.053,0.46617,0.87574,0.33805,1.00665,0,0.98492,0.99732,0.99492,0.91211,0.98492,0.99732,0.99492,0.89704,0.39714,0.75548,0.5456,0.68999,0,0.0015644,0.0015644,0.0015644
35,230.422,0.44578,0.82113,0.33056,0.99744,0,0.99684,1,0.995,0.87845,0.99684,1,0.995,0.92185,0.557,0.72853,0.7743,0.74246,0,0.0015512,0.0015512,0.0015512
36,236.694,0.43828,0.81953,0.33683,0.9891,0,0.99875,1,0.995,0.90389,0.99875,1,0.995,0.91627,0.40675,0.65613,0.55957,0.67414,0,0.001538,0.001538,0.001538
37,242.862,0.43852,0.85958,0.34652,0.99967,0,0.999,1,0.995,0.92525,0.999,1,0.995,0.93201,0.42808,0.61601,0.668,0.6567,0,0.0015248,0.0015248,0.0015248
38,248.936,0.42056,0.82771,0.33992,0.9861,0,0.99896,1,0.995,0.91002,0.99896,1,0.995,0.91402,0.43478,0.58575,0.55817,0.66879,0,0.0015116,0.0015116,0.0015116
39,255.458,0.43934,0.83137,0.33896,0.9877,0,0.9993,1,0.995,0.9049,0.9993,1,0.995,0.90028,0.41916,0.83933,0.38178,0.67735,0,0.0014984,0.0014984,0.0014984
40,261.85,0.41879,0.77225,0.32047,0.98237,0,0.99118,1,0.995,0.92879,0.99118,1,0.995,0.92859,0.41541,0.5775,0.46095,0.66128,0,0.0014852,0.0014852,0.0014852
41,268.158,0.45095,0.82323,0.33355,1.00404,0,0.99932,1,0.995,0.88993,0.99932,1,0.995,0.87596,0.51555,0.87782,0.63882,0.73984,0,0.001472,0.001472,0.001472
