epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0806,1.32309,3.12883,3.28966,0.02746,2.76932,0,0,0,0,0,0,0,0,5.3633,51.439,3.3166,0.26593,0,0.0032,0.0032,0.0712
2,35.3107,1.59108,2.15181,1.75015,0.03443,1.35023,0.01484,0.09924,0.00158,0.00022,0.03425,0.22901,0.00904,0.00114,3.67694,79.2233,4.18854,0.18479,0,0.00649929,0.00649929,0.0414993
3,52.3002,1.61974,1.90032,1.52064,0.03537,1.1479,0.01252,0.46565,0.02306,0.00664,0.0154,0.57252,0.03603,0.00883,2.69725,96.3586,3.89591,0.1274,0,0.00979574,0.00979574,0.0117957
4,69.4359,1.55026,1.75336,1.3836,0.03313,1.0092,0.05543,0.22137,0.03049,0.00478,0.04547,0.29008,0.02092,0.00464,3.36887,35.1865,4.95433,0.17759,0,0.00999023,0.00999023,0.00999023
5,86.3353,1.67233,1.65819,1.15468,0.03801,0.88084,0.19027,0.19084,0.08001,0.01447,0.61077,0.54198,0.56434,0.21936,3.49372,4.86665,4.70409,0.21523,0,0.00998264,0.00998264,0.00998264
6,103.249,1.52319,1.58201,1.09004,0.03338,0.82627,0.02139,0.0458,0.00185,0.00048,0.76207,0.83969,0.8908,0.62308,3.2244,16.8783,5.9947,0.21093,0,0.00997288,0.00997288,0.00997288
7,120.179,1.52362,1.4403,0.98239,0.03247,0.69891,0.37695,0.29097,0.15857,0.0491,0.41142,0.29771,0.16363,0.05855,2.67537,6.19004,3.30216,0.12122,0,0.00996097,0.00996097,0.00996097
8,137.146,1.40624,1.46183,0.86895,0.03037,0.73978,0.84881,0.94284,0.89061,0.53027,0.85532,0.94656,0.90577,0.57743,1.21016,1.33554,1.4208,0.05363,0,0.0099469,0.0099469,0.0099469
9,154.106,1.35604,1.38746,0.78998,0.02889,0.64994,0.91105,0.93821,0.90074,0.58285,0.91831,0.94393,0.93749,0.70873,1.17363,1.24918,0.92105,0.05206,0,0.00993068,0.00993068,0.00993068
10,171.046,1.35185,1.36777,0.74057,0.02862,0.64168,0.91788,0.94656,0.94219,0.42556,0.95928,0.94656,0.979,0.61642,2.1138,1.15792,1.33324,0.10008,0,0.00991232,0.00991232,0.00991232
11,187.993,1.26345,1.30962,0.74688,0.02714,0.61999,0.91129,0.54198,0.66835,0.36213,0.91129,0.54198,0.66835,0.51134,1.67798,1.36437,2.05388,0.08472,0,0.00989183,0.00989183,0.00989183
12,205.039,1.18435,1.35055,0.69641,0.02489,0.68705,0.71631,0.65649,0.61901,0.31963,0.70798,0.64885,0.59618,0.37107,1.47547,1.35559,2.75345,0.0605,0,0.00986922,0.00986922,0.00986922
13,222.015,1.21248,1.385,0.70517,0.02626,0.77682,0.92048,0.79528,0.85545,0.4713,0.91165,0.78765,0.834,0.67701,1.57727,1.20727,3.14283,0.07224,0,0.00984449,0.00984449,0.00984449
14,238.862,1.12004,1.24025,0.63733,0.02322,0.64292,0.92626,0.95892,0.98631,0.47637,0.94945,0.9084,0.96234,0.52705,1.95076,1.42656,1.30151,0.08838,0,0.00981765,0.00981765,0.00981765
15,255.805,1.09816,1.27715,0.60484,0.02319,0.60445,0.97675,0.9622,0.99222,0.58783,0.9845,0.96983,0.99362,0.8017,1.5483,1.3766,0.96246,0.07619,0,0.00978873,0.00978873,0.00978873
16,272.641,1.00426,1.22628,0.54041,0.02024,0.5907,0.99236,0.99213,0.9947,0.66485,0.99236,0.99213,0.9947,0.85455,1.26172,0.95841,0.71639,0.0556,0,0.00975773,0.00975773,0.00975773
17,289.455,1.01221,1.20914,0.55322,0.02035,0.60688,0.95995,0.91482,0.98129,0.54216,0.92793,0.88453,0.94275,0.63902,1.61079,1.54917,0.57727,0.07364,0,0.00972466,0.00972466,0.00972466
18,306.397,1.01694,1.20054,0.56447,0.02063,0.57166,0.96837,0.93893,0.98793,0.73147,0.96837,0.93893,0.98793,0.83059,1.03612,1.14805,0.61145,0.04721,0,0.00968955,0.00968955,0.00968955
19,323.468,0.9668,1.24814,0.53942,0.01965,0.57892,0.99225,0.97685,0.99424,0.74435,0.99225,0.97685,0.99424,0.8688,1.01483,0.91783,0.45746,0.04719,0,0.00965239,0.00965239,0.00965239
20,340.37,0.94697,1.20779,0.47315,0.01887,0.54908,1,0.92844,0.96005,0.73608,1,0.92844,0.96005,0.85479,0.93797,0.98168,0.96691,0.03752,0,0.00961322,0.00961322,0.00961322
21,357.138,0.96864,1.16866,0.48259,0.01878,0.55215,0.99101,0.98473,0.99462,0.68347,0.99101,0.98473,0.99462,0.89107,1.22182,0.92722,0.6235,0.05308,0,0.00957205,0.00957205,0.00957205
22,374.004,0.97656,1.15592,0.48826,0.01993,0.55166,0.95978,0.9542,0.98526,0.67819,0.95978,0.9542,0.98526,0.7793,1.16695,1.04492,0.95202,0.05235,0,0.00952889,0.00952889,0.00952889
23,390.835,0.952,1.10629,0.49596,0.01859,0.52433,0.93323,0.96026,0.981,0.74139,0.93323,0.96026,0.981,0.78618,0.91991,1.1452,0.62256,0.03695,0,0.00948377,0.00948377,0.00948377
24,407.673,0.99783,1.13165,0.46696,0.02055,0.52513,0.96242,0.97742,0.99209,0.70465,0.96242,0.97742,0.99209,0.85564,1.11851,0.92111,0.36779,0.04555,0,0.00943671,0.00943671,0.00943671
25,424.478,0.93184,1.10273,0.46594,0.01887,0.52191,0.97743,0.9918,0.99424,0.79615,0.97743,0.9918,0.99424,0.85396,0.82857,0.87263,0.3649,0.03289,0,0.00938772,0.00938772,0.00938772
26,441.406,0.91178,1.11462,0.44345,0.01747,0.5209,0.99229,0.98261,0.99463,0.78154,0.99229,0.98261,0.99463,0.85374,0.88286,0.92308,0.33576,0.03689,0,0.00933683,0.00933683,0.00933683
27,458.423,0.91307,1.11577,0.42909,0.01717,0.53411,0.98485,0.99237,0.99462,0.78536,0.98485,0.99237,0.99462,0.83372,0.89464,0.78528,0.8913,0.03969,0,0.00928405,0.00928405,0.00928405
28,475.338,0.85402,1.09578,0.41434,0.01601,0.50328,0.96161,0.956,0.98899,0.80181,0.96161,0.956,0.98899,0.87102,0.74174,0.81169,0.52652,0.03077,0,0.00922942,0.00922942,0.00922942
29,492.153,0.89932,1.12602,0.43738,0.01733,0.53502,0.99218,0.96876,0.9932,0.80942,0.99218,0.96876,0.9932,0.84669,0.76878,0.82443,0.68925,0.03149,0,0.00917296,0.00917296,0.00917296
30,508.982,0.82428,0.99546,0.38355,0.01594,0.48183,0.96928,0.9633,0.99321,0.85427,0.96928,0.9633,0.99321,0.8688,0.63956,0.85311,0.6084,0.02567,0,0.00911469,0.00911469,0.00911469
31,525.929,0.82712,0.95738,0.40069,0.01661,0.45092,0.99605,0.94656,0.9904,0.73388,0.99605,0.94656,0.9904,0.87587,1.07505,0.74849,0.73126,0.05097,0,0.00905463,0.00905463,0.00905463
32,542.784,0.84736,1.04773,0.40865,0.0166,0.4521,0.99019,0.94656,0.99035,0.78286,0.99019,0.94656,0.99035,0.87828,0.8622,0.72121,0.94871,0.03596,0,0.00899282,0.00899282,0.00899282
33,559.758,0.78667,1.06179,0.39788,0.0156,0.45431,0.92641,0.96105,0.98587,0.76176,0.93385,0.96991,0.98671,0.85588,0.89447,0.83361,0.77445,0.038,0,0.00892928,0.00892928,0.00892928
34,576.741,0.82766,1.06974,0.43417,0.01545,0.49966,0.97408,0.9542,0.99099,0.73436,0.97408,0.9542,0.99099,0.81441,0.99265,0.97982,0.96406,0.04301,0,0.00886404,0.00886404,0.00886404
35,593.573,0.81838,1.10386,0.42724,0.01557,0.47607,0.96982,0.98116,0.99195,0.7385,0.96982,0.98116,0.99195,0.84652,1.01864,0.95492,0.62515,0.04228,0,0.00879713,0.00879713,0.00879713
