epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4366,1.6179,2.99721,2.58513,0.03651,3.38758,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0032,0.0032,0.0712
2,39.5212,1.83578,2.03015,1.51584,0.04265,1.50588,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00649929,0.00649929,0.0414993
3,58.4838,1.80969,1.96651,1.24049,0.04293,1.09902,0.15002,0.00763,0.00126,0.00013,0,0,0,0,4.25142,187.9,6.80454,0.21051,0,0.00979574,0.00979574,0.0117957
4,77.5087,1.57955,1.67992,1.10403,0.03478,1.00016,0.01421,0.06107,0.00436,0.00048,0.01515,0.0229,0.00075,0.0001,4.28145,15.3291,4.04985,0.25536,0,0.00999023,0.00999023,0.00999023
5,96.5365,1.62926,1.69716,1.04146,0.03564,0.93765,0.14036,0.10687,0.02472,0.00362,0.0554,0.0458,0.00518,0.00059,4.26634,12.6299,7.22621,0.23632,0,0.00998264,0.00998264,0.00998264
6,115.432,1.45974,1.57645,0.95975,0.03236,0.93496,0.20714,0.10687,0.04135,0.01132,0.21946,0.1145,0.04246,0.01404,3.95117,22.4839,3.41721,0.20532,0,0.00997288,0.00997288,0.00997288
7,134.501,1.44717,1.47118,0.8259,0.03171,0.74397,0.16294,0.16794,0.06303,0.017,0.13332,0.1374,0.04471,0.01683,3.13334,7.66759,3.92111,0.14549,0,0.00996097,0.00996097,0.00996097
8,153.522,1.51554,1.47359,0.79812,0.034,0.75509,0.46975,0.61069,0.44922,0.13547,0.49603,0.54097,0.43972,0.1655,2.21354,2.68911,1.98745,0.10174,0,0.0099469,0.0099469,0.0099469
9,172.553,1.44879,1.44291,0.70235,0.0312,0.75987,0.62984,0.70139,0.63858,0.15911,0.73798,0.81701,0.8707,0.60987,2.78866,2.05653,1.45145,0.1538,0,0.00993068,0.00993068,0.00993068
10,191.573,1.36457,1.48327,0.6953,0.02901,0.71051,0.89034,0.80574,0.90158,0.45656,0.89034,0.80574,0.90502,0.67674,1.77786,1.83018,1.02016,0.08743,0,0.00991232,0.00991232,0.00991232
11,210.638,1.42676,1.44144,0.71928,0.03114,0.78487,0.78769,0.82443,0.83889,0.41654,0.554,0.58015,0.4792,0.13583,1.64477,5.78204,1.09583,0.0755,0,0.00989183,0.00989183,0.00989183
12,229.613,1.24969,1.34743,0.66173,0.02643,0.65618,0.93032,0.91722,0.97744,0.65421,0.93032,0.91722,0.97744,0.73553,1.26596,1.0781,0.9389,0.05301,0,0.00986922,0.00986922,0.00986922
13,248.956,1.19776,1.36072,0.65175,0.02564,0.70512,0.9553,0.98473,0.99272,0.63417,0.9553,0.98473,0.99272,0.81143,1.31552,1.09106,1.11993,0.05683,0,0.00984449,0.00984449,0.00984449
14,267.934,1.13698,1.25155,0.57129,0.02311,0.65455,0.96652,0.88146,0.95341,0.65128,0.96652,0.88146,0.95341,0.77902,1.26841,1.09762,0.9251,0.06209,0,0.00981765,0.00981765,0.00981765
15,286.766,1.12838,1.28738,0.55478,0.0229,0.65934,0.93308,0.84733,0.91731,0.55188,0.95104,0.85496,0.92011,0.74313,1.59446,1.1544,0.73589,0.08099,0,0.00978873,0.00978873,0.00978873
16,305.625,1.04026,1.19749,0.49404,0.02099,0.588,0.96894,0.9524,0.98893,0.76191,0.96894,0.9524,0.98994,0.83239,0.87219,0.96375,0.54988,0.03806,0,0.00975773,0.00975773,0.00975773
17,324.459,1.06089,1.19905,0.50561,0.02103,0.58868,0.98471,0.98293,0.99454,0.7075,0.98471,0.98293,0.99454,0.82843,1.1182,1.4213,0.67418,0.04533,0,0.00972466,0.00972466,0.00972466
18,343.516,1.1304,1.22999,0.55413,0.02316,0.61076,0.86869,0.83969,0.90335,0.6854,0.86869,0.83969,0.90335,0.75103,0.89664,1.11636,0.98638,0.03696,0,0.00968955,0.00968955,0.00968955
19,363.604,0.99155,1.26142,0.50993,0.02037,0.59215,0.93928,0.98473,0.98666,0.71117,0.93928,0.98473,0.98666,0.83207,1.01584,1.00415,0.53103,0.04505,0,0.00965239,0.00965239,0.00965239
20,383.136,1.04592,1.20719,0.50154,0.0212,0.56195,0.92799,0.9313,0.97367,0.6363,0.92799,0.9313,0.97367,0.75067,1.12492,1.04112,0.87599,0.04324,0,0.00961322,0.00961322,0.00961322
21,402.902,0.9976,1.20096,0.51358,0.01959,0.57493,0.93964,0.89313,0.97127,0.69465,0.93964,0.89313,0.97127,0.69227,1.03005,1.6906,1.06472,0.04379,0,0.00957205,0.00957205,0.00957205
22,422.062,1.03007,1.17961,0.53216,0.02118,0.52065,0.88448,0.91603,0.94546,0.70615,0.87666,0.9084,0.94236,0.72205,0.90822,1.3006,0.84561,0.03761,0,0.00952889,0.00952889,0.00952889
